id,name,dish,qty,price,total,date,city
28,Arnav Sinha,Sambar Rice,3,130.48,391.44,2024-11-04,Vijayawada
29,Inaaya  Kurian,Vada,4,136.8,547.2,2024-11-18,Thiruvananthapuram
30,Armaan Bhasin,Dosa,2,223.73,447.46,2025-01-19,Thiruvananthapuram
31,Ryan Kaul,Medu Vada,3,318.56,955.68,2025-06-23,Trichy
32,Yasmin Tak,Curd Rice,4,242.45,969.8,2024-10-25,Bengaluru
33,Sara Mann,Vada,2,280.38,560.76,2025-02-01,Mysuru
34,Lagan Barad,Pesarattu,3,251.95,755.85,2025-01-13,Vijayawada
35,Nirvaan Tella,Bisibele Bath,4,252.71,1010.84,2025-07-08,Hyderabad
36,Lakshit Hari,Sambar Rice,4,108.7,434.8,2025-03-17,Thiruvananthapuram
37,Anahi Toor,Bisibele Bath,1,170.2,170.2,2024-10-30,Chennai
38,Yakshit Tella,Rasam Rice,4,429.91,1719.64,2024-10-23,Thiruvananthapuram
39,Vihaan Lad,Upma,4,92.74,370.96,2025-03-26,Bengaluru
40,Misha Madan,Uttapam,2,438.98,877.96,2025-04-26,Vijayawada
41,Seher Choudhry,Vada,2,360.68,721.36,2025-06-25,Mysuru
42,Bhavin Bala,Medu Vada,3,325.32,975.96,2024-10-03,Trichy
43,Drishya Lalla,Rava Dosa,1,370.31,370.31,2024-08-14,Trichy
44,Kiara Basu,Idli,2,51.28,102.56,2024-10-21,Trichy
45,Zain Singhal,Dosa,3,369.45,1108.35,2025-03-24,Mysuru
46,Prerak Saini,Pesarattu,2,331.43,662.86,2025-04-01,Coimbatore
47,Alia Dayal,Pesarattu,2,446.43,892.86,2025-04-22,Chennai
48,Ishita Dani,Medu Vada,2,345.47,690.94,2025-06-01,Vijayawada
49,Piya Shah,Neer Dosa,3,101.14,303.42,2025-02-05,Mysuru
50,Shaan Sharma,Dosa,3,470.6,1411.8,2025-05-18,Bengaluru
51,Faiyaz Ramanathan,Upma,5,86.7,433.5,2025-07-01,Thiruvananthapuram
52,Kashvi Varma,Upma,5,393.55,1967.75,2025-05-08,Coimbatore
53,Hiran Kakar,Idli,3,187.43,562.29,2025-08-01,Trichy
54,Manikya Keer,Vada,5,111.69,558.45,2024-10-30,Coimbatore
55,Shayak Manda,Dosa,1,405.41,405.41,2025-05-09,Vijayawada
56,Ayesha Karpe,Pesarattu,2,229.79,459.58,2024-08-18,Coimbatore
57,Dharmajan Dhar,Pesarattu,1,460.78,460.78,2025-01-21,Thiruvananthapuram
58,Navya Ganesan,Idli,5,65.92,329.6,2025-05-10,Coimbatore
59,Madhup Agrawal,Vada,2,377.1,754.2,2025-07-20,Coimbatore
60,Yuvraj  Mangal,Neer Dosa,2,171.25,342.5,2025-06-06,Thiruvananthapuram
61,Sumer Chakraborty,Rava Dosa,2,88.22,176.44,2025-05-17,Chennai
62,Anika Rau,Pongal,2,303.42,606.84,2025-04-16,Trichy
63,Diya Biswas,Neer Dosa,5,96.53,482.65,2025-03-04,Mysuru
64,Ishaan Chhabra,Curd Rice,2,158.16,316.32,2025-05-04,Chennai
65,Jayesh Ram,Vada,3,413.73,1241.19,2024-11-01,Coimbatore
66,Ira Dyal,Curd Rice,5,129.57,647.85,2025-04-23,Vijayawada
67,Jiya Rajagopal,Uttapam,4,161.88,647.52,2025-02-07,Thiruvananthapuram
68,Bhavin Handa,Uttapam,3,421.53,1264.59,2025-03-05,Coimbatore
69,Vanya Khalsa,Upma,5,374.44,1872.2,2025-06-15,Thiruvananthapuram
70,Taimur Sant,Rava Dosa,2,304.68,609.36,2025-06-24,Chennai
71,Zain Hari,Medu Vada,2,99.96,199.92,2025-01-11,Hyderabad
72,Trisha Yogi,Neer Dosa,4,77.43,309.72,2024-08-28,Trichy
73,Vaibhav Ramachandran,Dosa,2,218.71,437.42,2025-07-03,Trichy
74,Yuvraj  Bhavsar,Idli,1,431.29,431.29,2025-05-18,Hyderabad
75,Sumer Sawhney,Dosa,4,264.8,1059.2,2024-11-16,Mysuru
76,Dishani Bal,Pongal,2,392.01,784.02,2025-04-04,Coimbatore
77,Nishith Sant,Neer Dosa,5,438.91,2194.55,2025-05-23,Hyderabad
78,Ayesha Aggarwal,Vada,1,262.77,262.77,2025-07-14,Bengaluru
79,Shray Singh,Dosa,5,412.14,2060.7,2025-04-29,Vijayawada
80,Ivana Dhaliwal,Neer Dosa,2,94.59,189.18,2025-05-25,Thiruvananthapuram
81,Jivika Bhardwaj,Medu Vada,1,183.41,183.41,2024-10-14,Coimbatore
82,Vedika Venkataraman,Dosa,5,351.3,1756.5,2025-08-08,Hyderabad
83,Nitara Borah,Neer Dosa,5,271.12,1355.6,2025-01-14,Mysuru
84,Saksham Raj,Bisibele Bath,2,239.59,479.18,2024-11-03,Coimbatore
85,Vihaan Thakkar,Rasam Rice,5,303.22,1516.1,2025-01-01,Thiruvananthapuram
86,Kismat Soman,Bisibele Bath,1,449.9,449.9,2024-12-23,Hyderabad
87,Aayush Hora,Curd Rice,5,147.8,739.0,2025-02-09,Vijayawada
88,Riya Suresh,Dosa,5,443.27,2216.35,2025-04-07,Bengaluru
89,Krish Kar,Vada,3,177.42,532.26,2025-02-12,Chennai
90,Zaina Deep,Sambar Rice,1,404.72,404.72,2025-02-25,Coimbatore
91,Jayant Ravi,Bisibele Bath,3,284.24,852.72,2025-06-09,Bengaluru
92,Myra Kohli,Medu Vada,5,156.59,782.95,2024-11-21,Vijayawada
93,Dharmajan Saxena,Idli,4,175.95,703.8,2024-11-02,Trichy
94,Hunar Sangha,Idli,4,113.61,454.44,2025-01-12,Vijayawada
95,Lakshay Bail,Rasam Rice,3,120.49,361.47,2024-12-26,Mysuru
96,Sahil Setty,Rava Dosa,5,78.8,394.0,2025-05-11,Chennai
97,Tiya Krishna,Upma,4,467.24,1868.96,2025-05-31,Thiruvananthapuram
98,Hazel Lalla,Uttapam,3,365.56,1096.68,2025-01-16,Vijayawada
99,Dhruv Dhar,Uttapam,1,258.09,258.09,2025-03-18,Trichy
100,Biju Ben,Rasam Rice,1,494.07,494.07,2024-12-10,Coimbatore
101,Damini Sibal,Rava Dosa,4,296.24,1184.96,2024-11-25,Bengaluru
102,Shray Zacharia,Vada,5,410.63,2053.15,2025-05-02,Hyderabad
103,Myra Raval,Idli,1,440.66,440.66,2025-08-11,Coimbatore
104,Akarsh Dhar,Uttapam,3,467.75,1403.25,2025-03-03,Vijayawada
105,Baiju Gole,Dosa,5,121.42,607.1,2025-04-07,Thiruvananthapuram
106,Pihu Chokshi,Vada,3,343.48,1030.44,2024-11-29,Mysuru
107,Baiju Trivedi,Medu Vada,3,61.75,185.25,2025-08-11,Mysuru
108,Nishith Kapadia,Uttapam,1,298.37,298.37,2024-10-01,Hyderabad
109,Himmat Gill,Pongal,2,207.64,415.28,2024-11-03,Hyderabad
110,Pihu Yogi,Idli,4,61.91,247.64,2025-03-12,Bengaluru
111,Azad Yogi,Dosa,3,259.27,777.81,2025-03-10,Chennai
112,Hansh Din,Pongal,4,212.35,849.4,2025-07-05,Vijayawada
113,Akarsh Sen,Dosa,4,383.62,1534.48,2025-03-27,Vijayawada
114,Samiha Dave,Uttapam,5,182.01,910.05,2024-12-16,Vijayawada
115,Adah Arora,Rasam Rice,4,242.02,968.08,2025-01-09,Vijayawada
116,Samarth Deshpande,Dosa,2,178.83,357.66,2024-08-20,Mysuru
117,Shlok Babu,Pongal,4,279.38,1117.52,2024-11-21,Trichy
118,Raunak Gade,Curd Rice,1,434.4,434.4,2024-10-09,Hyderabad
119,Emir Dass,Pesarattu,2,362.25,724.5,2024-11-28,Bengaluru
120,Riya Chandra,Neer Dosa,4,313.47,1253.88,2024-10-04,Hyderabad
121,Krish Sur,Pesarattu,3,149.95,449.85,2025-04-08,Bengaluru
122,Samarth Bora,Vada,1,282.09,282.09,2025-02-20,Vijayawada
123,Yashvi Chakrabarti,Idli,4,390.12,1560.48,2025-03-24,Hyderabad
124,Kismat Bandi,Idli,4,489.12,1956.48,2024-10-05,Trichy
125,Pranay Sane,Curd Rice,3,130.6,391.8,2025-07-25,Thiruvananthapuram
126,Vardaniya Yadav,Pongal,1,233.24,233.24,2025-02-04,Mysuru
127,Prisha Seth,Pesarattu,5,174.83,874.15,2024-10-10,Coimbatore
128,Damini Chada,Neer Dosa,2,265.2,530.4,2024-10-15,Mysuru
129,Dhruv Tandon,Rasam Rice,1,335.29,335.29,2024-09-26,Chennai
130,Rati Goyal,Idli,5,339.47,1697.35,2025-06-08,Mysuru
131,Dharmajan Bala,Bisibele Bath,5,390.87,1954.35,2025-04-26,Coimbatore
132,Hunar Talwar,Upma,5,476.13,2380.65,2024-09-15,Thiruvananthapuram
133,Raunak Sarma,Curd Rice,1,84.1,84.1,2025-08-09,Trichy
134,Ayesha Dixit,Medu Vada,4,270.5,1082.0,2024-11-12,Trichy
135,Diya Borde,Curd Rice,1,413.67,413.67,2025-07-13,Bengaluru
136,Neelofar Sangha,Bisibele Bath,2,220.24,440.48,2025-05-12,Thiruvananthapuram
137,Yuvaan Chand,Rava Dosa,5,281.31,1406.55,2024-10-10,Chennai
138,Raghav Bal,Sambar Rice,3,426.75,1280.25,2025-04-16,Bengaluru
139,Shalv Hora,Sambar Rice,4,151.84,607.36,2024-09-01,Bengaluru
140,Madhav Bhavsar,Medu Vada,5,413.16,2065.8,2025-03-06,Chennai
141,Baiju Shanker,Pesarattu,4,360.16,1440.64,2025-02-22,Vijayawada
142,Divyansh Mammen,Uttapam,4,261.72,1046.88,2024-08-16,Vijayawada
143,Ela Doshi,Uttapam,4,432.0,1728.0,2024-11-05,Chennai
144,Pari Bhatti,Dosa,1,350.11,350.11,2024-08-30,Trichy
145,Prisha Tella,Rava Dosa,2,136.04,272.08,2024-12-01,Trichy
146,Manikya Bumb,Medu Vada,5,143.45,717.25,2025-06-16,Thiruvananthapuram
147,Trisha Keer,Rava Dosa,3,53.77,161.31,2024-08-16,Vijayawada
148,Samiha Yadav,Medu Vada,2,97.24,194.48,2024-11-03,Coimbatore
149,Neelofar Sandhu,Sambar Rice,1,411.94,411.94,2025-02-13,Coimbatore
150,Prisha Bath,Bisibele Bath,2,383.16,766.32,2025-03-26,Trichy
151,Devansh Salvi,Rasam Rice,5,361.36,1806.8,2025-04-25,Coimbatore
152,Eshani Mangal,Pesarattu,5,489.53,2447.65,2024-12-23,Bengaluru
153,Eshani Hayer,Uttapam,5,380.73,1903.65,2025-04-25,Vijayawada
154,Anahi Bahri,Rava Dosa,4,312.16,1248.64,2024-11-26,Hyderabad
155,Kashvi Ravel,Vada,5,125.31,626.55,2025-01-29,Mysuru
156,Badal Borra,Upma,4,300.78,1203.12,2024-09-02,Hyderabad
157,Ivan Konda,Bisibele Bath,5,221.45,1107.25,2024-09-22,Mysuru
158,Vivaan Gokhale,Dosa,5,286.96,1434.8,2024-11-13,Chennai
159,Ritvik Chad,Curd Rice,4,96.54,386.16,2024-09-03,Chennai
160,Divij Bali,Neer Dosa,5,91.63,458.15,2024-10-12,Coimbatore
161,Nakul Ranganathan,Idli,4,142.55,570.2,2024-09-06,Thiruvananthapuram
162,Shayak Sen,Sambar Rice,5,455.39,2276.95,2025-01-03,Thiruvananthapuram
163,Sana Ben,Idli,1,448.33,448.33,2025-06-11,Coimbatore
164,Veer Sunder,Medu Vada,2,382.67,765.34,2025-03-11,Bengaluru
165,Manikya Lal,Idli,2,245.44,490.88,2024-08-20,Thiruvananthapuram
166,Vanya Singhal,Idli,5,425.93,2129.65,2025-05-14,Chennai
167,Khushi Bhatti,Vada,5,425.53,2127.65,2025-07-16,Trichy
168,Shaan Sule,Dosa,3,363.04,1089.12,2025-07-24,Coimbatore
169,Suhana Bal,Upma,3,450.93,1352.79,2024-10-07,Hyderabad
170,Yasmin Kapoor,Bisibele Bath,1,306.59,306.59,2025-02-05,Mysuru
171,Anya Maharaj,Curd Rice,2,205.89,411.78,2025-04-15,Mysuru
172,Mamooty Dar,Medu Vada,4,472.27,1889.08,2025-06-21,Hyderabad
173,Samaira Chhabra,Dosa,3,114.79,344.37,2025-06-07,Trichy
174,Amani Raja,Idli,3,334.77,1004.31,2025-03-13,Chennai
175,Aarav Baral,Neer Dosa,3,387.59,1162.77,2025-01-25,Chennai
176,Umang Wali,Neer Dosa,1,253.32,253.32,2024-09-13,Hyderabad
177,Sahil Agrawal,Neer Dosa,1,410.93,410.93,2025-06-09,Vijayawada
178,Riya Sinha,Pesarattu,2,484.71,969.42,2025-04-03,Hyderabad
179,Vaibhav Solanki,Rava Dosa,1,451.89,451.89,2025-05-03,Chennai
180,Pranay Grewal,Curd Rice,1,238.81,238.81,2024-10-29,Coimbatore
181,Amani Issac,Rasam Rice,4,402.5,1610.0,2025-03-21,Trichy
182,Rhea Dugal,Sambar Rice,1,423.56,423.56,2025-06-12,Thiruvananthapuram
183,Umang Jha,Vada,1,208.15,208.15,2025-06-03,Hyderabad
184,Rohan Madan,Idli,5,309.35,1546.75,2025-02-23,Hyderabad
185,Abram Mani,Pesarattu,5,261.43,1307.15,2025-02-13,Trichy
186,Lavanya Sharma,Curd Rice,4,365.5,1462.0,2024-08-25,Trichy
187,Kartik Gupta,Uttapam,3,78.2,234.6,2025-03-01,Thiruvananthapuram
188,Divit Gade,Sambar Rice,1,222.36,222.36,2025-07-12,Vijayawada
189,Rati Wason,Rava Dosa,2,291.34,582.68,2024-11-08,Hyderabad
190,Advik Jha,Dosa,3,491.93,1475.79,2024-10-02,Thiruvananthapuram
191,Veer Doctor,Neer Dosa,2,90.45,180.9,2024-12-05,Mysuru
192,Tushar Madan,Pongal,2,405.24,810.48,2025-02-09,Thiruvananthapuram
193,Hrishita Ramesh,Dosa,3,276.1,828.3,2025-04-12,Hyderabad
194,Anika Cheema,Medu Vada,3,322.67,968.01,2024-11-27,Hyderabad
195,Kanav Khare,Pongal,1,67.88,67.88,2025-06-10,Coimbatore
196,Yuvraj  Sule,Pesarattu,3,132.95,398.85,2025-06-28,Mysuru
197,Prerak Ahluwalia,Dosa,1,402.56,402.56,2024-11-30,Coimbatore
198,Seher Chana,Dosa,3,340.21,1020.63,2024-10-07,Vijayawada
199,Zaina Devi,Sambar Rice,4,451.74,1806.96,2024-09-16,Chennai
200,Nitya Swamy,Neer Dosa,3,399.71,1199.13,2024-09-14,Chennai
201,Ranbir Khatri,Upma,5,54.43,272.15,2025-04-16,Chennai
202,Shayak Lanka,Pesarattu,2,107.24,214.48,2025-02-11,Thiruvananthapuram
203,Eva Khare,Pesarattu,4,486.37,1945.48,2025-04-22,Coimbatore
204,Tanya Sem,Curd Rice,2,190.24,380.48,2025-08-03,Vijayawada
205,Nirvi Sarraf,Medu Vada,3,177.04,531.12,2024-12-07,Thiruvananthapuram
206,Aarush Ghosh,Bisibele Bath,4,365.49,1461.96,2024-11-13,Vijayawada
207,Manjari Gara,Pongal,2,495.65,991.3,2025-04-24,Hyderabad
208,Dhanush Raju,Neer Dosa,2,284.29,568.58,2025-07-28,Trichy
209,Hrishita Tandon,Vada,3,80.67,242.01,2025-07-30,Bengaluru
210,Parinaaz Sagar,Upma,1,252.24,252.24,2025-06-30,Thiruvananthapuram
211,Ojas Agrawal,Curd Rice,4,277.52,1110.08,2025-05-25,Hyderabad
212,Rhea Bedi,Upma,1,186.15,186.15,2025-04-12,Vijayawada
213,Vardaniya Ranganathan,Pongal,3,401.78,1205.34,2025-05-11,Hyderabad
214,Stuvan Chauhan,Bisibele Bath,3,81.74,245.22,2024-09-26,Trichy
215,Shray Chaudhuri,Rasam Rice,1,169.27,169.27,2025-02-09,Trichy
216,Zeeshan Luthra,Dosa,4,467.23,1868.92,2025-05-10,Hyderabad
217,Arnav Gaba,Dosa,3,289.19,867.57,2025-04-16,Thiruvananthapuram
218,Lakshit Baria,Vada,4,54.11,216.44,2024-10-09,Hyderabad
219,Tanya Bose,Bisibele Bath,3,69.91,209.73,2024-11-13,Bengaluru
220,Vivaan Kapadia,Idli,1,182.37,182.37,2024-09-22,Vijayawada
221,Adira Thaman,Medu Vada,1,214.57,214.57,2025-02-15,Thiruvananthapuram
222,Nehmat Mahal,Curd Rice,4,98.32,393.28,2025-02-17,Coimbatore
223,Navya Walia,Upma,1,210.01,210.01,2024-12-18,Chennai
224,Akarsh Chacko,Sambar Rice,2,129.2,258.4,2025-02-25,Trichy
225,Keya Sarraf,Dosa,2,398.75,797.5,2025-06-24,Vijayawada
226,Anvi Dada,Uttapam,1,492.58,492.58,2025-05-07,Hyderabad
227,Shalv Mallick,Rasam Rice,1,416.36,416.36,2024-09-21,Mysuru
228,Parinaaz Vyas,Upma,3,176.69,530.07,2025-07-27,Mysuru
229,Damini Bhatia,Pesarattu,5,115.94,579.7,2025-05-23,Hyderabad
230,Nehmat Dutt,Bisibele Bath,4,308.05,1232.2,2025-01-09,Bengaluru
231,Tiya Dutta,Uttapam,1,101.54,101.54,2025-01-11,Vijayawada
232,Nirvi Bose,Curd Rice,5,463.86,2319.3,2025-07-08,Coimbatore
233,Lagan Bhardwaj,Neer Dosa,2,207.5,415.0,2024-11-16,Mysuru
234,Zoya Gala,Dosa,2,73.55,147.1,2024-12-24,Mysuru
235,Shayak Som,Bisibele Bath,1,348.55,348.55,2025-01-29,Chennai
236,Mamooty Sheth,Neer Dosa,2,84.43,168.86,2025-04-28,Chennai
237,Yashvi Bhat,Uttapam,5,72.92,364.6,2025-04-12,Bengaluru
238,Yashvi Contractor,Sambar Rice,5,379.9,1899.5,2025-07-05,Hyderabad
239,Fateh Dhawan,Curd Rice,5,233.33,1166.65,2024-12-19,Coimbatore
240,Adira Shukla,Medu Vada,5,232.42,1162.1,2025-04-10,Coimbatore
241,Ehsaan Dalal,Pongal,3,78.5,235.5,2025-03-14,Coimbatore
242,Hazel Setty,Curd Rice,3,212.76,638.28,2025-01-19,Chennai
243,Emir Bhatnagar,Idli,3,377.06,1131.18,2024-08-27,Chennai
244,Mannat Char,Vada,4,344.79,1379.16,2024-09-25,Mysuru
245,Arnav Chawla,Rasam Rice,2,108.53,217.06,2024-09-16,Trichy
246,Advika Rege,Medu Vada,1,418.71,418.71,2025-06-28,Mysuru
247,Reyansh Barad,Dosa,2,146.1,292.2,2024-10-09,Vijayawada
248,Jayan Mane,Idli,5,99.8,499.0,2025-08-11,Chennai
249,Vivaan Kala,Bisibele Bath,2,387.35,774.7,2024-08-31,Mysuru
250,Aaryahi Chacko,Curd Rice,1,204.94,204.94,2024-10-13,Mysuru
251,Saksham Sodhi,Dosa,5,246.41,1232.05,2025-07-07,Trichy
252,Kimaya Keer,Rasam Rice,4,83.58,334.32,2025-04-09,Thiruvananthapuram
253,Shalv Gaba,Rasam Rice,1,356.69,356.69,2025-07-18,Bengaluru
254,Vritika Rao,Rasam Rice,5,402.97,2014.85,2025-04-19,Thiruvananthapuram
255,Anvi Sarma,Upma,4,63.74,254.96,2025-05-06,Bengaluru
256,Prisha Chanda,Rasam Rice,1,190.52,190.52,2024-09-12,Hyderabad
257,Myra Dhawan,Curd Rice,3,243.35,730.05,2025-07-29,Hyderabad
258,Drishya Rajagopal,Upma,5,257.11,1285.55,2024-08-13,Thiruvananthapuram
259,Faiyaz Sharaf,Medu Vada,2,341.84,683.68,2025-04-07,Thiruvananthapuram
260,Ira Deol,Medu Vada,3,114.67,344.01,2024-09-23,Trichy
261,Abram Agrawal,Rasam Rice,2,480.74,961.48,2024-08-28,Chennai
262,Urvi Chaudhuri,Pongal,2,234.47,468.94,2025-02-15,Thiruvananthapuram
263,Gatik Jani,Sambar Rice,4,250.21,1000.84,2025-07-29,Hyderabad
264,Yuvraj  Choudhury,Pesarattu,1,355.15,355.15,2025-04-30,Hyderabad
265,Keya Badal,Rasam Rice,1,297.03,297.03,2024-11-07,Bengaluru
266,Jivin Mander,Dosa,2,207.3,414.6,2025-07-06,Vijayawada
267,Siya Borde,Idli,3,348.51,1045.53,2025-01-11,Mysuru
268,Sahil Krish,Neer Dosa,3,411.81,1235.43,2024-10-27,Thiruvananthapuram
269,Stuvan Karnik,Upma,3,159.27,477.81,2025-04-05,Hyderabad
270,Aradhya Tank,Medu Vada,1,165.14,165.14,2024-11-14,Hyderabad
271,Parinaaz Bassi,Pesarattu,1,183.71,183.71,2025-04-14,Mysuru
272,Lakshit Seth,Neer Dosa,2,215.22,430.44,2025-04-01,Coimbatore
273,Aayush Jhaveri,Bisibele Bath,4,189.99,759.96,2025-04-02,Vijayawada
274,Inaaya  Krishnan,Neer Dosa,2,363.62,727.24,2024-09-14,Coimbatore
275,Badal Barad,Medu Vada,4,213.87,855.48,2024-12-27,Hyderabad
276,Vedika Khurana,Idli,2,392.61,785.22,2025-03-05,Chennai
277,Vihaan Sachdev,Uttapam,4,101.65,406.6,2024-09-21,Coimbatore
278,Divyansh Shetty,Medu Vada,3,326.59,979.77,2024-11-26,Trichy
279,Nakul Tandon,Dosa,4,290.17,1160.68,2025-01-05,Mysuru
280,Kavya Varghese,Vada,3,377.13,1131.39,2024-10-29,Thiruvananthapuram
281,Abram Din,Sambar Rice,5,186.93,934.65,2025-06-29,Hyderabad
282,Bhavin Agrawal,Curd Rice,3,75.24,225.72,2025-06-22,Chennai
283,Vanya Baria,Idli,3,104.0,312.0,2025-07-11,Hyderabad
284,Vedika Kashyap,Rava Dosa,2,169.77,339.54,2025-02-25,Chennai
285,Priyansh Luthra,Uttapam,5,364.52,1822.6,2025-02-10,Thiruvananthapuram
286,Aaryahi Trivedi,Vada,1,395.44,395.44,2025-04-16,Bengaluru
287,Divij Vala,Uttapam,1,346.49,346.49,2025-02-17,Hyderabad
288,Miraan Goyal,Curd Rice,5,449.54,2247.7,2025-07-18,Chennai
289,Romil Sagar,Curd Rice,2,116.2,232.4,2025-04-12,Trichy
290,Ayesha Vasa,Rasam Rice,2,107.3,214.6,2025-07-24,Hyderabad
291,Jayant Zacharia,Upma,5,166.84,834.2,2025-07-15,Thiruvananthapuram
292,Rohan Anne,Medu Vada,1,172.72,172.72,2025-02-08,Chennai
293,Badal Dixit,Rava Dosa,2,173.12,346.24,2025-07-17,Coimbatore
294,Madhav Keer,Bisibele Bath,2,302.1,604.2,2025-01-19,Thiruvananthapuram
295,Shray Dora,Pongal,1,455.74,455.74,2025-05-28,Thiruvananthapuram
296,Hiran Tripathi,Sambar Rice,4,488.57,1954.28,2024-12-24,Coimbatore
297,Aarush Chana,Rasam Rice,1,121.07,121.07,2025-03-31,Coimbatore
298,Hrishita Lal,Neer Dosa,4,54.44,217.76,2025-05-31,Trichy
299,Indrajit Sankaran,Curd Rice,1,420.51,420.51,2025-03-06,Mysuru
300,Saira Date,Medu Vada,3,232.01,696.03,2025-04-26,Trichy
301,Aniruddh Ranganathan,Dosa,2,83.84,167.68,2024-08-30,Vijayawada
302,Romil Sagar,Upma,1,373.48,373.48,2025-06-25,Trichy
303,Indrajit Joshi,Rava Dosa,3,119.66,358.98,2025-05-27,Coimbatore
304,Nirvi Koshy,Idli,2,465.81,931.62,2024-09-21,Trichy
305,Arhaan Hari,Bisibele Bath,2,467.47,934.94,2024-09-15,Coimbatore
306,Anahi Mahal,Idli,4,441.0,1764.0,2025-02-11,Hyderabad
307,Romil Singhal,Neer Dosa,5,362.03,1810.15,2025-06-21,Coimbatore
308,Kanav Dada,Rava Dosa,5,460.57,2302.85,2024-09-24,Thiruvananthapuram
309,Reyansh Sangha,Rava Dosa,2,203.5,407.0,2025-07-09,Mysuru
310,Vardaniya Mahal,Pesarattu,1,117.6,117.6,2025-06-20,Chennai
311,Sahil Sen,Idli,4,374.91,1499.64,2025-02-19,Hyderabad
312,Aradhya Garg,Bisibele Bath,2,387.19,774.38,2025-07-03,Hyderabad
313,Adah Ganesh,Neer Dosa,2,459.74,919.48,2025-02-06,Vijayawada
314,Ela Kara,Uttapam,1,416.37,416.37,2024-09-19,Thiruvananthapuram
315,Lavanya Deol,Neer Dosa,1,315.81,315.81,2024-10-22,Vijayawada
316,Siya Bains,Vada,1,351.5,351.5,2025-07-02,Mysuru
317,Kashvi Boase,Idli,1,106.96,106.96,2025-04-22,Thiruvananthapuram
318,Nirvi Barad,Dosa,4,495.75,1983.0,2024-10-21,Vijayawada
319,Shamik Samra,Curd Rice,1,134.17,134.17,2024-10-26,Chennai
320,Mahika Goyal,Dosa,4,270.62,1082.48,2025-07-16,Hyderabad
321,Anaya Kamdar,Vada,2,240.91,481.82,2025-08-01,Coimbatore
322,Fateh Subramanian,Medu Vada,3,220.96,662.88,2025-02-16,Mysuru
323,Jivika Mane,Curd Rice,5,255.49,1277.45,2024-12-03,Bengaluru
324,Sumer Jaggi,Upma,2,231.33,462.66,2025-01-12,Coimbatore
325,Shanaya Dar,Medu Vada,3,163.48,490.44,2024-10-12,Thiruvananthapuram
326,Shaan Gola,Curd Rice,3,372.76,1118.28,2025-08-09,Vijayawada
327,Neysa Sethi,Vada,3,199.28,597.84,2024-11-03,Vijayawada
328,Sumer Ratta,Rava Dosa,4,247.07,988.28,2024-10-28,Coimbatore
329,Heer Chander,Pesarattu,3,330.52,991.56,2025-06-27,Trichy
330,Mannat Randhawa,Curd Rice,4,469.3,1877.2,2024-11-20,Chennai
331,Hiran Dass,Pongal,3,374.46,1123.38,2025-06-26,Hyderabad
332,Yashvi Deshpande,Pesarattu,3,415.61,1246.83,2025-08-12,Bengaluru
333,Manikya Datta,Upma,2,218.8,437.6,2024-11-28,Vijayawada
334,Mehul Jaggi,Medu Vada,1,156.73,156.73,2024-08-19,Hyderabad
